id;name;description;duration
1;Generic Wooden Keyboard Maine Group;Summit Avon relationships;39104
2;repurpose;Tasty Steel Hat circuit;59289
3;revolutionary Generic Cotton Tuna RAM;Open-architected;19181
4;Frozen Bahamas Nevada;multimedia bus;38562
5;Home Loan Account;Cambridgeshire;63464
6;web services;Investment Account auxiliary Bedfordshire;45682
7;responsive;project National;97475
8;Home Loan Account deposit Handmade;copying Libyan Dinar Garden;32922
9;Licensed Generic Wooden Tuna;Concrete silver Cotton;92345
10;tan parse;Vermont SDD;47893
